Publisher,Week Sales
Nintendo,750630
Konami,366306
The Pokemon Company,62136
Microsoft,56782
Nippon Ichi,39312
Marvelous,32750
Bandai Namco,23546
Imagineer,22599
Koei Tecmo,18240
Square Enix,16590
Teyon Japan,14631
Sega,13900
Sony,9452
Entergram,9182
Spike Chunsoft,7951
Capcom,4515
Game Addict,3745
Inti Creates,3718
Clouded Leopard Entertainment,2686
